"Alpha Group","Mint/NFT Cost (ETH)","Mint/NFT Cost ($)","Gas Fee (ETH)","Gas Fees ($)","Listing Fee Total (ETH)","Listing Fee Total ($)","Cost of Trade (ETH)","Sell Price (ETH)",Breakeven,"OS Fee","Royalty Fee","Total Fees (ETH)","Initial + Fee (ETH)","Eth Expect to Receive",Wallet,Transfer_Updated,Method_Updated,Profit/Loss,Date_Updated
NP,0.069,$261.55,0.0099,$37.55,0.0305,$116.82,0.1094,0.1140,0.1164,2.5%,3.5%,0.0473,0.1163,0.1072,Main,NO,Mint,-0.0023,2022-01-02
NP,0.069,$261.55,0.0099,$37.55,0,$0.00,0.0789,0.1230,0.0839,2.5%,3.5%,0.0173,0.0863,0.1156,Main,NO,Mint,0.0367,2022-01-02
NP,0.02,$24.35,0.003,$3.61,0.0009,$1.11,0.0238,0.0730,0.0258,2.5%,5.0%,0.0093,0.0293,0.0675,Main,NO,Mint,0.0437,2022-01-02
NP,0.02,$24.35,0.003,$3.61,0,$0.00,0.023,0.1190,0.0248,2.5%,5.0%,0.0119,0.0319,0.1101,Main,NO,Mint,0.0871,2022-01-02
TW,0,$0.00,0.0019,$2.36,0.001,$1.21,0.0029,,0.003,2.5%,0.0%,0.0029,0.0029,0,Main,"Transfer Sent",Mint,-0.0029,2022-01-02
NP,0.025,$30.35,0.0041,$4.99,0.0008,$0.93,0.0299,0.0480,0.0306,2.5%,0.0%,0.0061,0.0311,0.0468,Main,NO,Secondary,0.0169,2022-01-02
WP,0.05,$60.89,0.0008,$0.96,0.0011,$1.28,0.0518,0.0780,0.0532,2.5%,0.0%,0.0038,0.0538,0.0761,Ledger,NO,Mint,0.0242,2022-01-02
WP,0.05,$60.89,0.0008,$0.96,0,$0.00,0.0508,0.0890,0.0521,2.5%,0.0%,0.003,0.053,0.0868,Ledger,NO,Mint,0.0360,2022-01-02
WP,0,$0.00,0.0021,$2.57,0,$0.00,0.0021,,0.0023,2.5%,6.9%,0.0021,0.0021,0,Ledger,NO,Mint,-0.0021,2022-01-02
TW,0,$0.00,0.0019,$2.36,0.001,$1.21,0.0029,,0.003,2.5%,0.0%,0.0029,0.0029,0,Ledger,"Transfer Received",Mint,-0.0029,2022-01-02
TW,0,$0.00,0.0018,$2.23,0.0007,$0.90,0.0025,,0.0026,2.5%,0.0%,0.0025,0.0025,0,Ledger,"Transfer Received",Mint,-0.0025,2022-01-02
TW,0,$0.00,0.0018,$2.23,0.0007,$0.90,0.0025,,0.0026,2.5%,0.0%,0.0025,0.0025,0,Burner,NO,Mint,-0.0025,2022-01-02
AS,0,$0.00,0.0028,$3.39,0,$0.00,0.0028,,0.0031,2.5%,7.5%,0.0028,0.0028,0,Main,NO,Mint,-0.0028,2022-01-03
WP,0.0066,$7.99,0.0022,$2.68,0.001,$1.25,0.0098,0.0134,0.0101,2.5%,0.0%,0.0035,0.0101,0.0131,Main,NO,Mint,0.0033,2022-01-03
NP,0,$0.00,0.002,$2.36,0,$0.00,0.002,,0.0022,2.5%,10.0%,0.002,0.002,0,Ledger,NO,Mint,-0.0020,2022-01-03
AS,0,$0.00,0.0033,$3.94,0,$0.00,0.0033,,0.0036,2.5%,7.5%,0.0033,0.0033,0,Burner,NO,Mint,-0.0033,2022-01-03
WP,0.0071,$8.95,0.0034,$4.29,0.0014,$1.73,0.0119,0.0280,0.0122,2.5%,0.0%,0.0055,0.0126,0.0273,Main,NO,Mint,0.0154,2022-01-04
WP,0.0071,$8.95,0.0034,$4.29,0,$0.00,0.0105,0.0480,0.0108,2.5%,0.0%,0.0046,0.0117,0.0468,Main,NO,Mint,0.0363,2022-01-04
WP,0.0071,$8.95,0.0034,$4.29,0,$0.00,0.0105,0.0720,0.0108,2.5%,0.0%,0.0052,0.0123,0.0702,Main,NO,Mint,0.0597,2022-01-04
WP,0.0071,$8.95,0.0034,$4.29,0,$0.00,0.0105,0.0930,0.0108,2.5%,0.0%,0.0057,0.0129,0.0907,Main,NO,Mint,0.0801,2022-01-04
NP,0.003,$3.77,0.0006,$0.80,0.0011,$1.35,0.0047,,0.0052,2.5%,7.0%,0.0017,0.0047,0,Ledger,NO,Mint,-0.0047,2022-01-04
NP,0.003,$3.77,0.0006,$0.80,0,$0.00,0.0036,,0.004,2.5%,7.0%,0.0006,0.0036,0,Ledger,NO,Mint,-0.0036,2022-01-04
NP,0.003,$3.77,0.0006,$0.80,0,$0.00,0.0036,,0.004,2.5%,7.0%,0.0006,0.0036,0,Ledger,NO,Mint,-0.0036,2022-01-04
NP,0.003,$3.77,0.0006,$0.80,0,$0.00,0.0036,,0.004,2.5%,7.0%,0.0006,0.0036,0,Ledger,NO,Mint,-0.0036,2022-01-04
WP,0.0007,$0.86,0.003,$3.76,0,$0.00,0.002,0.0000,0.0022,2.5%,10.0%,0.002,0.002,0,Ledger,NO,Secondary,-0.0020,2022-01-04
NP,0.257,$321.73,0.0034,$4.24,0.001,$1.30,0.2614,,0.2695,2.5%,0.5%,0.0044,0.2614,0,Main,NO,Secondary,-0.2614,2022-01-05
WP,0.006,$7.49,0.0016,$2.03,0,$0.00,0.0076,,0.0078,2.5%,0.0%,0.0016,0.0076,0,Ledger,NO,Mint,-0.0076,2022-01-05
WP,0.006,$7.49,0.0016,$2.03,0,$0.00,0.0076,,0.0078,2.5%,0.0%,0.0016,0.0076,0,Ledger,NO,Mint,-0.0076,2022-01-05
WP,0.0072,$8.98,0.0045,$5.56,0,$0.00,0.002,0.0000,0.0022,2.5%,10.0%,0.002,0.002,0,Ledger,NO,Secondary,-0.0020,2022-01-05
WP,0,$0.00,0.0032,$3.95,0.0014,$1.77,0.002,,0.0022,2.5%,10.0%,0.002,0.002,0,Ledger,NO,Secondary,-0.0020,2022-01-05
WP,0.08,$101.27,0.005,$6.36,0.0009,$1.20,0.086,0.2490,0.0905,2.5%,2.5%,0.0184,0.0984,0.2366,Main,NO,Mint,0.1506,2022-01-06
MK,0.044,$55.66,0.0011,$1.41,0.0011,$1.38,0.0462,,0.0528,2.5%,10.0%,0.0022,0.0462,0,Main,"Transfer Sent",Mint,-0.0462,2022-01-07
MK,0.044,$55.66,0.0011,$1.41,0.0007,$0.92,0.0458,,0.0524,2.5%,10.0%,0.0018,0.0458,0,Main,NO,Mint,-0.0458,2022-01-07
MK,0.044,$55.66,0.0011,$1.41,0.0011,$1.38,0.0462,,0.0528,2.5%,10.0%,0.0022,0.0462,0,Ledger,"Transfer Received",Mint,-0.0462,2022-01-07
MK,0.044,$55.66,0.0011,$1.41,0.0007,$0.92,0.0458,,0.0524,2.5%,10.0%,0.0018,0.0458,0,Ledger,"Transfer Received",Mint,-0.0458,2022-01-07
NP,0.15,$475.91,0.0129,$40.72,0.01,$32.81,0.1729,0.1690,0.1975,2.5%,10.0%,0.044,0.194,0.1479,Main,NO,Mint,-0.0250,2022-01-09
NP,0.15,$475.91,0.0129,$40.72,0,$0.00,0.1629,0.1780,0.1861,2.5%,10.0%,0.0351,0.1851,0.1558,Main,NO,Mint,-0.0071,2022-01-09
WP,0.1181,$156.65,0.0036,$4.74,0,$0.00,0.1217,,0.1391,2.5%,10.0%,0.0036,0.1217,0,Ledger,NO,Mint,-0.1217,2022-01-09
NP,0.1,$120.04,0,$0.00,0.0008,$0.91,0.1008,,0.1033,2.5%,0.0%,0.0008,0.1008,0,Ledger,NO,Secondary,-0.1008,2022-01-10
NP,0.2,$614.74,0.0256,$78.66,0,$0.00,0.2256,0.2990,0.2507,2.5%,7.5%,0.0555,0.2555,0.2691,Main,NO,Mint,0.0435,2022-01-10
TW,0.044,$58.49,0.0033,$4.36,0.0016,$2.10,0.0489,0.0650,0.0528,2.5%,5.0%,0.0097,0.0537,0.0601,Main,NO,Mint,0.0113,2022-01-10
MK,0.033,$46.12,0.004,$5.65,0,$0.00,0.037,,0.0423,2.5%,10.0%,0.004,0.037,0,Ledger,NO,Mint,-0.0370,2022-01-10
NP,0,$0.00,0.002,$2.78,0.0016,$2.43,0.0035,0.0130,0.0036,2.5%,0.0%,0.0039,0.0039,0.0127,Ledger,NO,Mint,0.0091,2022-01-12
WP,0.006,$8.50,0.0022,$3.11,0,$0.00,0.0082,,0.0084,2.5%,0.0%,0.0022,0.0082,0,Ledger,NO,Mint,-0.0082,2022-01-12
TW,0,$0.00,0,$0.00,0.0008,$1.19,0.0008,,0.001,2.5%,10.0%,0.0008,0.0008,0,Ledger,NO,Airdrop,-0.0008,2022-01-12
NP,0.25,$818.72,0.0352,$115.27,0.0136,$44.49,0.2988,1.7900,0.3415,2.5%,10.0%,0.2725,0.5225,1.5663,Main,NO,Mint,1.2675,2022-01-14
NP,0.25,$818.72,0.0352,$115.27,0,$0.00,0.2852,1.9870,0.3259,2.5%,10.0%,0.2836,0.5336,1.7386,Main,NO,Mint,1.4534,2022-01-14
MK,0,$0.00,0.0037,$5.68,0,$0.00,0.0037,,0.0038,2.5%,0.0%,0.0037,0.0037,0,Main,"Transfer Sent",Airdrop,-0.0037,2022-01-14
NP,0,$0.00,0.002,$3.07,0,$0.00,0.002,,0.0023,2.5%,10.0%,0.002,0.002,0,Ledger,NO,Mint,-0.0020,2022-01-14
NP,0,$0.00,0.0019,$2.95,0,$0.00,0.0019,,0.0022,2.5%,10.0%,0.0019,0.0019,0,Ledger,NO,Mint,-0.0019,2022-01-14
MK,0,$0.00,0.0037,$5.68,0,$0.00,0.0037,,0.0038,2.5%,0.0%,0.0037,0.0037,0,Ledger,"Transfer Received",Airdrop,-0.0037,2022-01-14
YT,0.069,$231.29,0.0098,$32.76,0,$0.00,0.0788,,0.0852,2.5%,5.0%,0.0098,0.0788,0,Main,"Transfer Sent",Mint,-0.0788,2022-01-16
TW,0,$0.00,0.0033,$5.10,0.0012,$1.88,0.0045,0.4900,0.0046,2.5%,0.0%,0.0168,0.0168,0.4778,Main,NO,Mint,0.4732,2022-01-16
YT,0.069,$231.29,0.0098,$32.76,0,$0.00,0.0788,,0.0852,2.5%,5.0%,0.0098,0.0788,0,Ledger,"Transfer Received",Mint,-0.0788,2022-01-16
MK,0.05,$79.03,0.0065,$10.22,0,$0.00,0.0565,0.0000,0.0579,2.5%,0.0%,0.0065,0.0565,0,Ledger,"Transfer Sent",Mint,-0.0565,2022-01-17
MK,0.05,$79.01,0.0017,$2.61,0.0015,$2.33,0.0531,,0.0545,2.5%,0.0%,0.0031,0.0531,0,Ledger,NO,Mint,-0.0531,2022-01-17
MK,0.05,$79.01,0.0017,$2.61,0,$0.00,0.0517,,0.053,2.5%,0.0%,0.0017,0.0517,0,Ledger,NO,Mint,-0.0517,2022-01-17
NP,0,$0.00,0.004,$6.29,0,$0.00,0.004,,0.0041,2.5%,0.6%,0.004,0.004,0,Ledger,NO,Mint,-0.0040,2022-01-17
MK,0.0067,$10.22,0.0034,$5.16,0,$0.00,0.01,,0.0107,2.5%,4.2%,0.0034,0.01,0,Ledger,NO,Mint,-0.0100,2022-01-19
NP,0.088,$286.06,0.0198,$64.44,0.0046,$14.91,0.1124,1.9280,0.1249,2.5%,7.5%,0.2172,0.3052,1.7352,Main,NO,Mint,1.6228,2022-01-20
WP,0,$0.00,0.0036,$5.96,0,$0.00,0.0036,0.0000,0.0038,2.5%,2.5%,0.0036,0.0036,0,Main,"Transfer Sent",Mint,-0.0036,2022-01-20
MK,0,$0.00,0.0045,$7.29,0,$0.00,0.0045,,0.0051,2.5%,10.0%,0.0045,0.0045,0,Ledger,NO,Mint,-0.0045,2022-01-20
WP,0,$0.00,0.0025,$4.23,0,$0.00,0.0025,,0.0027,2.5%,2.5%,0.0025,0.0025,0,Ledger,NO,Mint,-0.0025,2022-01-20
WP,0,$0.00,0.0034,$5.68,0,$0.00,0.0034,,0.0036,2.5%,2.5%,0.0034,0.0034,0,Ledger,NO,Mint,-0.0034,2022-01-20
WP,0,$0.00,0.0036,$5.96,0,$0.00,0.0036,,0.0038,2.5%,2.5%,0.0036,0.0036,0,Ledger,"Transfer Received",Mint,-0.0036,2022-01-20
MK,0.0069,$11.44,0.0029,$4.82,0,$0.00,0.0098,0.0000,0.0101,2.5%,0.0%,0.0029,0.0098,0,Main,"Transfer Sent",Mint,-0.0098,2022-01-21
MK,0.05,$82.62,0.0023,$3.82,0,$0.00,0.0523,,0.0634,2.5%,15.0%,0.0023,0.0523,0,Ledger,NO,Mint,-0.0523,2022-01-21
MK,0.0169,$28.02,0.0022,$3.71,0,$0.00,0.0191,,0.0219,2.5%,10.0%,0.0022,0.0191,0,Ledger,NO,Mint,-0.0191,2022-01-21
MK,0.0069,$11.44,0.0029,$4.82,0,$0.00,0.0098,,0.0101,2.5%,0.0%,0.0029,0.0098,0,Ledger,"Transfer Received",Mint,-0.0098,2022-01-21
MK,0.0044,$719.00,0.0021,$3.50,0,$0.00,0.0065,,0.0075,2.5%,10.0%,0.0021,0.0065,0,Ledger,NO,Mint,-0.0065,2022-01-22
MK,0,$0.00,0.0032,$5.22,0,$0.00,0.0032,,0.0036,2.5%,10.0%,0.0032,0.0032,0,Ledger,NO,Mint,-0.0032,2022-01-23
MK,0,$0.00,0.0002,$0.31,0.001,$1.53,0.0012,,0.0012,2.5%,0.0%,0.0012,0.0012,0,Ledger,NO,Mint,-0.0012,2022-01-23
MK,0,$0.00,0.0002,$0.31,0,$0.00,0.0002,,0.0002,2.5%,0.0%,0.0002,0.0002,0,Ledger,NO,Mint,-0.0002,2022-01-23
MK,0,$0.00,0.0002,$0.31,0,$0.00,0.0002,,0.0002,2.5%,0.0%,0.0002,0.0002,0,Ledger,NO,Mint,-0.0002,2022-01-23
MK,0,$0.00,0.0002,$0.31,0,$0.00,0.0002,,0.0002,2.5%,0.0%,0.0002,0.0002,0,Ledger,NO,Mint,-0.0002,2022-01-23
MK,0,$0.00,0.0002,$0.31,0,$0.00,0.0002,,0.0002,2.5%,0.0%,0.0002,0.0002,0,Ledger,NO,Mint,-0.0002,2022-01-23
MK,0,$0.00,0.0002,$0.31,0,$0.00,0.0002,,0.0002,2.5%,0.0%,0.0002,0.0002,0,Ledger,NO,Mint,-0.0002,2022-01-23
MK,0,$0.00,0.0002,$0.31,0,$0.00,0.0002,,0.0002,2.5%,0.0%,0.0002,0.0002,0,Ledger,NO,Mint,-0.0002,2022-01-23
MK,0,$0.00,0.0002,$0.31,0,$0.00,0.0002,,0.0002,2.5%,0.0%,0.0002,0.0002,0,Ledger,NO,Mint,-0.0002,2022-01-23
MK,0,$0.00,0.0002,$0.31,0,$0.00,0.0002,,0.0002,2.5%,0.0%,0.0002,0.0002,0,Ledger,NO,Mint,-0.0002,2022-01-23
MK,0,$0.00,0.0002,$0.31,0,$0.00,0.0002,,0.0002,2.5%,0.0%,0.0002,0.0002,0,Ledger,NO,Mint,-0.0002,2022-01-23
MK,0,$0.00,0.0002,$0.31,0,$0.00,0.0002,,0.0002,2.5%,0.0%,0.0002,0.0002,0,Ledger,NO,Mint,-0.0002,2022-01-23
MK,0,$0.00,0.0002,$0.31,0,$0.00,0.0002,,0.0002,2.5%,0.0%,0.0002,0.0002,0,Ledger,NO,Mint,-0.0002,2022-01-23
MK,0,$0.00,0.0002,$0.31,0,$0.00,0.0002,,0.0002,2.5%,0.0%,0.0002,0.0002,0,Ledger,NO,Mint,-0.0002,2022-01-23
MK,0,$0.00,0.0002,$0.31,0,$0.00,0.0002,,0.0002,2.5%,0.0%,0.0002,0.0002,0,Ledger,NO,Mint,-0.0002,2022-01-23
MK,0,$0.00,0.0002,$0.31,0,$0.00,0.0002,,0.0002,2.5%,0.0%,0.0002,0.0002,0,Ledger,NO,Mint,-0.0002,2022-01-23
MK,0,$0.00,0.0002,$0.31,0,$0.00,0.0002,,0.0002,2.5%,0.0%,0.0002,0.0002,0,Ledger,NO,Mint,-0.0002,2022-01-23
MK,0,$0.00,0.0002,$0.31,0,$0.00,0.0002,,0.0002,2.5%,0.0%,0.0002,0.0002,0,Ledger,NO,Mint,-0.0002,2022-01-23
MK,0,$0.00,0.0002,$0.31,0,$0.00,0.0002,,0.0002,2.5%,0.0%,0.0002,0.0002,0,Ledger,NO,Mint,-0.0002,2022-01-23
MK,0,$0.00,0.0002,$0.31,0,$0.00,0.0002,,0.0002,2.5%,0.0%,0.0002,0.0002,0,Ledger,NO,Mint,-0.0002,2022-01-23
MK,0,$0.00,0.0002,$0.31,0,$0.00,0.0002,,0.0002,2.5%,0.0%,0.0002,0.0002,0,Ledger,NO,Mint,-0.0002,2022-01-23
MK,0.07,$114.20,0.0025,$4.12,0.0007,$1.13,0.0732,,0.0837,2.5%,10.0%,0.0032,0.0732,0,Ledger,NO,Mint,-0.0732,2022-01-23
MK,0.006,$9.65,0.0031,$4.99,0.0013,$2.34,0.0104,0.0000,0.0113,2.5%,5.0%,0.0044,0.0104,0,Ledger,NO,Mint,-0.0104,2022-01-24
MK,0.0666,$103.64,0.0028,$4.52,0,$0.00,0.0694,,0.0793,2.5%,10.0%,0.0028,0.0694,0,Ledger,NO,Mint,-0.0694,2022-01-24
MK,0,$0.00,0.0031,$4.90,0.0011,$1.76,0.0042,0.0290,0.0045,2.5%,4.2%,0.0061,0.0061,0.0271,Ledger,NO,Mint,0.0229,2022-01-24
MK,0.0088,$14.10,0.0007,$1.17,0,$0.00,0.0095,0.0000,0.0109,2.5%,10.0%,0.0007,0.0095,0,Ledger,NO,Mint,-0.0095,2022-01-24
MK,0.0088,$14.10,0.0007,$1.17,0,$0.00,0.0095,0.0000,0.0109,2.5%,10.0%,0.0007,0.0095,0,Ledger,NO,Mint,-0.0095,2022-01-24
MK,0.0088,$14.10,0.0007,$1.17,0,$0.00,0.0095,0.0000,0.0109,2.5%,10.0%,0.0007,0.0095,0,Ledger,NO,Mint,-0.0095,2022-01-24
MK,0.0088,$14.10,0.0007,$1.17,0,$0.00,0.0095,0.0000,0.0109,2.5%,10.0%,0.0007,0.0095,0,Ledger,NO,Mint,-0.0095,2022-01-24
MK,0.0088,$14.10,0.0007,$1.17,0,$0.00,0.0095,0.0000,0.0109,2.5%,10.0%,0.0007,0.0095,0,Ledger,NO,Mint,-0.0095,2022-01-24
MK,0,$0.00,0,$0.00,0,$0.00,0,,0,2.5%,6.9%,0,0,0,Ledger,NO,Airdrop,0.0000,2022-01-27
MK,0,$0.00,0,$0.00,0,$0.00,0,,0,2.5%,6.9%,0,0,0,Ledger,NO,Airdrop,0.0000,2022-01-27
MK,0,$0.00,0.0026,$4.14,0,$0.00,0.0026,,0.003,2.5%,10.0%,0.0026,0.0026,0,Ledger,NO,Mint,-0.0026,2022-01-27
NP,0.09,$230.99,0.0177,$45.45,0.0054,$13.78,0.1131,0.1750,0.1222,2.5%,5.0%,0.0362,0.1262,0.1619,Main,NO,Mint,0.0488,2022-01-28
NP,0.09,$230.99,0.01,$25.85,0,$0.00,0.1,0.2000,0.1081,2.5%,5.0%,0.025,0.115,0.185,Main,NO,Mint,0.0850,2022-01-28
NP,0.09,$230.99,0.01,$25.85,0,$0.00,0.1,0.1980,0.1081,2.5%,5.0%,0.0249,0.1149,0.1832,Main,NO,Mint,0.0831,2022-01-28
MK,0.0007,$1.08,0.0011,$1.67,0,$0.00,0.0018,,0.002,2.5%,10.0%,0.0011,0.0018,0,Ledger,NO,Mint,-0.0018,2022-01-30
MK,0.0007,$1.08,0.0011,$1.67,0,$0.00,0.0018,,0.002,2.5%,10.0%,0.0011,0.0018,0,Ledger,NO,Mint,-0.0018,2022-01-30
NP,0.25,$695.46,0.056,$156.83,0.0163,$45.23,0.3223,0.4188,0.3683,2.5%,10.0%,0.1246,0.3746,0.3665,Main,NO,Mint,0.0442,2022-02-01
NP,0.25,$695.46,0.056,$156.83,0,$0.00,0.306,0.5480,0.3497,2.5%,10.0%,0.1245,0.3745,0.4795,Main,NO,Mint,0.1735,2022-02-01
MK,0,$0.00,0.0055,$8.70,0,$0.00,0.0055,,0.0063,2.5%,10.0%,0.0055,0.0055,0,Ledger,NO,Airdrop,-0.0055,2022-02-01
NP,0.135,$366.02,0.0288,$78.02,0.0061,$16.39,0.1698,0.0100,0.1742,2.5%,0.0%,0.0351,0.1701,0.0098,Main,NO,Secondary,-0.1601,2022-02-02
NP,0.1,$295.56,0.0119,$35.31,0.0051,$15.03,0.117,0.1690,0.1337,2.5%,10.0%,0.0382,0.1382,0.1479,Main,NO,Mint,0.0308,2022-02-04
NP,0.1,$295.70,0.0132,$38.97,0.0018,$2.20,0.115,,0.1315,2.5%,10.0%,0.015,0.115,0,Main,NO,Mint,-0.1150,2022-02-04
NP,0.077,$233.18,0.009,$26.39,0.0045,$13.60,0.0905,0.1970,0.1005,2.5%,7.5%,0.0332,0.1102,0.1773,Main,NO,Mint,0.0868,2022-02-04
NP,0.077,$233.18,0.009,$26.39,0,$0.00,0.086,,0.0956,2.5%,7.5%,0.009,0.086,0,Main,NO,Mint,-0.0860,2022-02-04
WP,0,$0.00,0.0047,$7.82,0,$0.00,0.0047,,0.0048,2.5%,0.0%,0.0047,0.0047,0,Main,NO,Mint,-0.0047,2022-02-04
MK,0,$0.00,0,$0.00,0,$0.00,0,,0,2.5%,6.9%,0,0,0,Ledger,NO,Airdrop,0.0000,2022-02-04
WP,0,$0.00,0.0043,$7.21,0,$0.00,0.0043,,0.0044,2.5%,0.0%,0.0043,0.0043,0,Ledger,NO,Mint,-0.0043,2022-02-04
NP,0.15,$454.78,0.019,$58.00,0.0077,$23.34,0.1767,0.2100,0.1963,2.5%,7.5%,0.0477,0.1977,0.189,Main,NO,Mint,0.0123,2022-02-05
NP,0.15,$454.78,0.019,$58.00,0,$0.00,0.169,0.2240,0.1878,2.5%,7.5%,0.0414,0.1914,0.2016,Main,NO,Mint,0.0326,2022-02-05
NP,0.15,$454.78,0.019,$58.00,0,$0.00,0.169,0.2210,0.1878,2.5%,7.5%,0.0411,0.1911,0.1989,Main,NO,Mint,0.0299,2022-02-05
MK,0,$0.00,0.0027,$4.36,0,$0.00,0.0027,0.0130,0.0031,2.5%,10.0%,0.0043,0.0043,0.0114,Main,NO,Mint,0.0087,2022-02-05
MK,0,$0.00,0.0022,$3.36,0.0018,$2.79,0.004,0.2610,0.0042,2.5%,0.0%,0.0106,0.0106,0.2545,Main,"Transfer Sent",Airdrop,0.2504,2022-02-05
NP,0,$0.00,0.0137,$42.73,0.0072,$22.57,0.0209,,0.0214,2.5%,0.0%,0.0209,0.0209,0,Main,NO,Mint,-0.0209,2022-02-07
NP,3,$22.54,0.0091,$10.95,0.0026,$3.09,3.0117,6.0000,3.3463,2.5%,7.5%,0.6117,3.6117,5.4,Main,NO,Mint,2.3883,2022-02-10
NP,0.05,$155.81,0.0102,$31.71,0.0025,$7.89,0.0627,0.1140,0.0717,2.5%,10.0%,0.027,0.077,0.0998,Main,NO,Mint,0.0370,2022-02-11
AS,0.059,$90.00,0.0057,$8.61,0.0012,$1.79,0.0659,0.0200,0.0675,2.5%,0.0%,0.0074,0.0664,0.0195,Main,NO,Secondary,-0.0464,2022-02-11
MK,0,$0.00,0.0018,$2.75,0.0015,$2.53,0.0033,,0.0037,2.5%,10.0%,0.0033,0.0033,0,Main,NO,Mint,-0.0033,2022-02-11
WP,0,$0.00,0.0066,$10.02,0.0016,$2.49,0.0082,0.0009,0.0089,2.5%,5.0%,0.0083,0.0083,0.0008,Burner,NO,Mint,-0.0074,2022-02-11
NP,0.125,$388.97,0.007,$22.30,0.0034,$10.60,0.1354,0.1700,0.1504,2.5%,7.5%,0.0274,0.1524,0.153,Main,NO,Mint,0.0176,2022-02-15
YT,0.125,$388.97,0.007,$22.30,0,$0.00,0.132,0.1689,0.1467,2.5%,7.5%,0.0239,0.1489,0.152,Main,NO,Mint,0.0200,2022-02-15
WP,0.072,$118.94,0.0051,$8.48,0.0016,$2.63,0.0787,0.0000,0.09,2.5%,10.0%,0.0067,0.0787,0,Main,NO,Secondary,-0.0787,2022-02-16
WP,0.08,$132.29,0.0046,$7.65,0,$0.00,0.0846,0.0000,0.0967,2.5%,10.0%,0.0046,0.0846,0,Main,NO,Secondary,-0.0846,2022-02-16
MK,0,$0.00,0.009,$15.26,0.0025,$4.22,0.0115,,0.0132,2.5%,10.0%,0.0115,0.0115,0,Ledger,NO,Airdrop,-0.0115,2022-02-16
TW,0.18,$517.12,0.0099,$28.33,0.0053,$15.21,0.1952,0.3500,0.2168,2.5%,7.5%,0.0502,0.2302,0.315,Main,NO,Mint,0.1198,2022-02-17
TW,0.18,$517.12,0.0099,$28.33,0,$0.00,0.1899,0.3100,0.211,2.5%,7.5%,0.0409,0.2209,0.279,Main,NO,Mint,0.0891,2022-02-17
WP,0,$0.00,0.0051,$8.48,0,$0.00,0.0051,0.0870,0.0059,2.5%,10.0%,0.016,0.016,0.0761,Main,NO,Airdrop,0.0710,2022-02-17
AS,0.0525,$89.67,0.0084,$14.40,0.0034,$5.78,0.0643,0.0400,0.0646,0.0%,0.5%,0.012,0.0645,0.0398,Ledger,NO,Secondary,-0.0245,2022-02-17
AS,0.0525,$89.67,0.0084,$14.40,0,$0.00,0.0609,0.0390,0.0612,0.0%,0.5%,0.0086,0.0611,0.0388,Ledger,NO,Secondary,-0.0221,2022-02-17
WP,0,$1.17,0.0061,$10.42,0,$0.00,0.0061,0.0940,0.007,2.5%,10.0%,0.0179,0.0179,0.0823,Main,NO,Airdrop,0.0761,2022-02-18
MK,0,$0.00,0.0043,$7.30,0,$0.00,0.0043,,0.0049,2.5%,10.0%,0.0043,0.0043,0,Ledger,NO,Airdrop,-0.0043,2022-02-19
NP,0.125,$208.00,0.0045,$7.62,0.001,$1.68,0.1305,0.1540,0.1312,0.0%,0.5%,0.0063,0.1313,0.1532,Ledger,NO,Secondary,0.0227,2022-02-19
NP,1.5,"$3,866.51",0.0177,$45.71,0,$0.00,1.5177,,1.6408,2.5%,5.0%,0.0177,1.5177,0,Main,"Transfer Sent",Mint,-1.5177,2022-02-21
NP,0.11,$284.74,0.0212,$54.83,0.0092,$22.20,0.1404,0.0180,0.156,2.5%,7.5%,0.0322,0.1422,0.0162,Main,NO,Secondary,-0.1242,2022-02-21
WP,0.22,$360.33,0.0027,$4.39,0.0022,$3.56,0.2248,0.2970,0.2379,0.5%,5.0%,0.0212,0.2412,0.2807,Main,NO,Mint,0.0558,2022-02-21
WP,0.22,$360.33,0.0027,$4.39,0.0013,$2.05,0.224,0.3200,0.237,0.5%,5.0%,0.0216,0.2416,0.3024,Main,NO,Mint,0.0784,2022-02-21
NP,1.5,"$3,866.51",0.0177,$45.71,0,$0.00,1.5177,,1.6408,2.5%,5.0%,0.0177,1.5177,0,Ledger,"Transfer Received",Mint,-1.5177,2022-02-21
NP,0.07,$176.72,0.0042,$10.52,0.0038,$9.66,0.078,0.1485,0.0867,2.5%,7.5%,0.0229,0.0929,0.1337,Main,NO,Mint,0.0556,2022-02-22
NP,0.07,$176.72,0.0042,$10.52,0,$0.00,0.0742,0.1970,0.0824,2.5%,7.5%,0.0239,0.0939,0.1773,Main,NO,Mint,0.1031,2022-02-22
NP,0.07,$176.72,0.0042,$10.52,0,$0.00,0.0742,0.2710,0.0824,2.5%,7.5%,0.0313,0.1013,0.2439,Main,NO,Mint,0.1697,2022-02-22
MK,0,$0.00,0.0036,$5.89,0,$0.00,0.0036,,0.0041,2.5%,10.0%,0.0036,0.0036,0,Main,NO,Mint,-0.0036,2022-02-22
YT,0.18,$484.99,0.0083,$22.26,0.0026,$7.29,0.1909,,0.2182,2.5%,10.0%,0.0109,0.1909,0,Main,"Transfer Sent",Mint,-0.1909,2022-02-23
NP,0.0008,$1.25,0.0059,$9.49,0,$0.00,0.0067,,0.0068,2.5%,0.0%,0.0059,0.0067,0,Main,NO,Mint,-0.0067,2022-02-23
